step,train_loss,epoch,val_acc,test_acc,train_acc
49,0.4249913692474365,0,,,
99,0.36993923783302307,0,,,
149,0.3684505224227905,0,,,
199,0.2704100012779236,0,,,
249,0.31254249811172485,0,,,
299,0.3394426703453064,0,,,
311,,0,0.366100013256073,,
311,,0,,0.40149998664855957,0.32146432995796204
349,0.2915523648262024,1,,,
399,0.3172352910041809,1,,,
449,0.17605248093605042,1,,,
499,0.1632523089647293,1,,,
549,0.1867370307445526,1,,,
599,0.1400252729654312,1,,,
623,,1,0.453000009059906,,
623,,1,,0.5041000247001648,0.43199118971824646
649,0.2437134087085724,2,,,
699,0.19954948127269745,2,,,
749,0.1048591136932373,2,,,
799,0.14432673156261444,2,,,
849,0.11590715497732162,2,,,
899,0.1523415744304657,2,,,
935,,2,0.4952000081539154,,
935,,2,,0.546999990940094,0.49937400221824646
949,0.07278510183095932,3,,,
999,0.07361426949501038,3,,,
1049,0.020082920789718628,3,,,
1099,0.11617416143417358,3,,,
1149,0.1842140108346939,3,,,
1199,0.12529511749744415,3,,,
1247,,3,0.5478000044822693,,
1247,,3,,0.6211000084877014,0.5375851392745972
1249,0.049167484045028687,4,,,
1299,-0.037195850163698196,4,,,
1349,-0.02135995402932167,4,,,
1399,-0.008038114756345749,4,,,
1449,0.026936858892440796,4,,,
1499,0.12646399438381195,4,,,
1549,0.10437081754207611,4,,,
1559,,4,0.5795999765396118,,
1559,,4,,0.6492000222206116,0.5739933848381042
1599,0.06063667684793472,5,,,
1649,-0.040883347392082214,5,,,
1699,-0.004512126557528973,5,,,
1749,-0.03902699798345566,5,,,
1799,-0.00874229148030281,5,,,
1849,0.07519693672657013,5,,,
1871,,5,0.567799985408783,,
1871,,5,,0.6402999758720398,0.6009364724159241
1899,-0.08668607473373413,6,,,
1949,0.08037640899419785,6,,,
1999,-0.025197625160217285,6,,,
2049,0.04324765503406525,6,,,
2099,-0.08503405004739761,6,,,
2149,-0.08745695650577545,6,,,
2183,,6,0.625,,
2183,,6,,0.7003999948501587,0.6226712465286255
2199,-0.0860544890165329,7,,,
2249,-0.02445678412914276,7,,,
2299,-0.08550529181957245,7,,,
2349,-0.14492475986480713,7,,,
2399,-0.012259125709533691,7,,,
2449,-0.04789581149816513,7,,,
2495,,7,0.6381999850273132,,
2495,,7,,0.7246000170707703,0.6431039571762085
2499,-0.12259232997894287,8,,,
2549,-0.06722471117973328,8,,,
2599,-0.12196831405162811,8,,,
2649,0.07302301377058029,8,,,
2699,-0.07112845033407211,8,,,
2749,-0.02028326503932476,8,,,
2799,-0.04718095064163208,8,,,
2807,,8,0.6301000118255615,,
2807,,8,,0.720300018787384,0.6576772928237915
2849,-0.16712085902690887,9,,,
2899,-0.12177406996488571,9,,,
2949,-0.11297503113746643,9,,,
2999,-0.08283017575740814,9,,,
3049,-0.05476866662502289,9,,,
3099,-0.045209117233753204,9,,,
3119,,9,0.6743000149726868,,
3119,,9,,0.7706999778747559,0.6662159562110901
3149,-0.03698435053229332,10,,,
3199,-0.1259179711341858,10,,,
3249,-0.08316561579704285,10,,,
3299,-0.09744064509868622,10,,,
3349,-0.14915800094604492,10,,,
3399,-0.04392402619123459,10,,,
3431,,10,0.6424000263214111,,
3431,,10,,0.7414000034332275,0.6725510954856873
3449,-0.0561160147190094,11,,,
3499,-0.12783922255039215,11,,,
3549,-0.0846305638551712,11,,,
3599,-0.12078395485877991,11,,,
3649,-0.10773901641368866,11,,,
3699,-0.040114618837833405,11,,,
3743,,11,0.6534000039100647,,
3743,,11,,0.7480000257492065,0.6834936141967773
3749,-0.062302492558956146,12,,,
3799,-0.13201367855072021,12,,,
3849,-0.17510509490966797,12,,,
3899,-0.11490286886692047,12,,,
3949,-0.18459421396255493,12,,,
3999,-0.12555918097496033,12,,,
4049,-0.07825624942779541,12,,,
4055,,12,0.6650999784469604,,
4055,,12,,0.7653999924659729,0.6923577785491943
4099,-0.11115407943725586,13,,,
4149,-0.017447661608457565,13,,,
4199,-0.15082576870918274,13,,,
4249,-0.15940861403942108,13,,,
4299,-0.21783854067325592,13,,,
4349,-0.15630516409873962,13,,,
4367,,13,0.6675000190734863,,
4367,,13,,0.7657999992370605,0.6966897249221802
4399,-0.10779448598623276,14,,,
4449,-0.05776030942797661,14,,,
4499,-0.14201931655406952,14,,,
4549,-0.12604373693466187,14,,,
4599,-0.11260239034891129,14,,,
4649,-0.13516801595687866,14,,,
4679,,14,0.6722000241279602,,
4679,,14,,0.7811999917030334,0.7013471722602844
4699,-0.03097912110388279,15,,,
4749,-0.13469110429286957,15,,,
4799,-0.1198561042547226,15,,,
4849,-0.1968805193901062,15,,,
4899,-0.1293095499277115,15,,,
4949,-0.12797041237354279,15,,,
4991,,15,0.6486999988555908,,
4991,,15,,0.739799976348877,0.7071564793586731
4999,-0.1664290726184845,16,,,
5049,-0.13551712036132812,16,,,
5099,-0.15833964943885803,16,,,
5149,-0.1331552118062973,16,,,
5199,-0.2349621057510376,16,,,
5249,-0.22249189019203186,16,,,
5299,-0.04219813644886017,16,,,
5303,,16,0.6812000274658203,,
5303,,16,,0.7799999713897705,0.7145933508872986
5349,-0.11180558800697327,17,,,
5399,-0.06054546684026718,17,,,
5449,-0.21090321242809296,17,,,
5499,-0.13337573409080505,17,,,
5549,-0.16300566494464874,17,,,
5599,-0.25535398721694946,17,,,
5615,,17,0.6826000213623047,,
5615,,17,,0.7889000177383423,0.7193008661270142
5649,-0.15263645350933075,18,,,
5699,-0.15774881839752197,18,,,
5749,-0.2889655828475952,18,,,
5799,-0.07341276109218597,18,,,
5849,-0.2054285705089569,18,,,
5899,-0.23608961701393127,18,,,
5927,,18,0.6955999732017517,,
5927,,18,,0.8030999898910522,0.7198266983032227
5949,-0.16506078839302063,19,,,
5999,-0.14444318413734436,19,,,
6049,-0.1806224286556244,19,,,
6099,-0.10165932774543762,19,,,
6149,-0.22616271674633026,19,,,
6199,-0.1953747272491455,19,,,
6239,,19,0.6969000101089478,,
6239,,19,,0.8043000102043152,0.7255859375
6249,-0.08042816072702408,20,,,
6299,-0.19587409496307373,20,,,
6349,-0.17907275259494781,20,,,
6399,-0.21432071924209595,20,,,
6449,-0.08583316206932068,20,,,
6499,-0.26491889357566833,20,,,
6549,-0.08146576583385468,20,,,
6551,,20,0.7044000029563904,,
6551,,20,,0.817799985408783,0.7281650900840759
6599,-0.1504577100276947,21,,,
6649,-0.1319955587387085,21,,,
6699,-0.2052602767944336,21,,,
6749,-0.13751459121704102,21,,,
6799,-0.22745242714881897,21,,,
6849,-0.20614780485630035,21,,,
6863,,21,0.7053999900817871,,
6863,,21,,0.8159000277519226,0.7296925187110901
6899,-0.16516302525997162,22,,,
6949,-0.163296639919281,22,,,
6999,-0.23197388648986816,22,,,
7049,-0.12430039048194885,22,,,
7099,-0.1737150400876999,22,,,
7149,-0.10704056173563004,22,,,
7175,,22,0.6953999996185303,,
7175,,22,,0.8050000071525574,0.7310947775840759
7199,-0.24468417465686798,23,,,
7249,-0.23791828751564026,23,,,
7299,-0.14306926727294922,23,,,
7349,-0.12388451397418976,23,,,
7399,-0.12476200610399246,23,,,
7449,-0.11119350790977478,23,,,
7487,,23,0.7085000276565552,,
7487,,23,,0.8197000026702881,0.7382311820983887
7499,-0.21816426515579224,24,,,
7549,-0.25881439447402954,24,,,
7599,-0.2239493727684021,24,,,
7649,-0.20268243551254272,24,,,
7699,-0.20936143398284912,24,,,
7749,-0.23035842180252075,24,,,
7799,-0.245894655585289,24,,,
7799,,24,0.6988000273704529,,
7799,,24,,0.8079000115394592,0.740309476852417
7849,-0.16099774837493896,25,,,
7899,-0.2093258798122406,25,,,
7949,-0.17380833625793457,25,,,
7999,-0.19783979654312134,25,,,
8049,-0.1869274526834488,25,,,
8099,-0.19101037085056305,25,,,
8111,,25,0.7254999876022339,,
8111,,25,,0.848800003528595,0.745192289352417
8149,-0.18454886972904205,26,,,
8199,-0.21970254182815552,26,,,
8249,-0.11341241002082825,26,,,
8299,-0.1538863182067871,26,,,
8349,-0.14589616656303406,26,,,
8399,-0.20328813791275024,26,,,
8423,,26,0.6916999816894531,,
8423,,26,,0.8025000095367432,0.7462690472602844
8449,-0.2747117578983307,27,,,
8499,-0.1978210210800171,27,,,
8549,-0.1955566108226776,27,,,
8599,-0.1644323766231537,27,,,
8649,-0.2824847102165222,27,,,
8699,-0.2116219401359558,27,,,
8735,,27,0.7014999985694885,,
8735,,27,,0.8098000288009644,0.7455929517745972
8749,-0.23871633410453796,28,,,
8799,-0.24896107614040375,28,,,
8849,-0.19412118196487427,28,,,
8899,-0.2155543863773346,28,,,
8949,-0.1576523780822754,28,,,
8999,-0.2121969312429428,28,,,
9047,,28,0.7059000134468079,,
9047,,28,,0.8222000002861023,0.7522035241127014
9049,-0.2817922830581665,29,,,
9099,-0.2213560938835144,29,,,
9149,-0.18366286158561707,29,,,
9199,-0.23076234757900238,29,,,
9249,-0.1364825963973999,29,,,
9299,-0.15542209148406982,29,,,
9349,-0.20032557845115662,29,,,
9359,,29,0.720300018787384,,
9359,,29,,0.8307999968528748,0.7512770295143127
9399,-0.11510321497917175,30,,,
9449,-0.19683995842933655,30,,,
9499,-0.2525585889816284,30,,,
9549,-0.1825513243675232,30,,,
9599,-0.2068144679069519,30,,,
9649,-0.20693513751029968,30,,,
9671,,30,0.7213000059127808,,
9671,,30,,0.8327000141143799,0.7539312839508057
9699,-0.2186543345451355,31,,,
9749,-0.18216010928153992,31,,,
9799,-0.20400018990039825,31,,,
9849,-0.15851271152496338,31,,,
9899,-0.24778495728969574,31,,,
9949,-0.2553083896636963,31,,,
9983,,31,0.7240999937057495,,
9983,,31,,0.8346999883651733,0.7559094429016113
9999,-0.23506823182106018,32,,,
10049,-0.18215897679328918,32,,,
10099,-0.24929621815681458,32,,,
10149,-0.2213708609342575,32,,,
10199,-0.226780965924263,32,,,
10249,-0.23388691246509552,32,,,
10295,,32,0.7117000222206116,,
10295,,32,,0.8263999819755554,0.7614182829856873
10299,-0.2702398896217346,33,,,
10349,-0.24095430970191956,33,,,
10399,-0.2364642173051834,33,,,
10449,-0.2103300541639328,33,,,
10499,-0.26361945271492004,33,,,
10549,-0.19117072224617004,33,,,
10599,-0.14159506559371948,33,,,
10607,,33,0.722000002861023,,
10607,,33,,0.8305000066757202,0.7571614384651184
10649,-0.2095283418893814,34,,,
10699,-0.19925476610660553,34,,,
10749,-0.13763895630836487,34,,,
10799,-0.21541596949100494,34,,,
10849,-0.18895307183265686,34,,,
10899,-0.11994269490242004,34,,,
10919,,34,0.7175999879837036,,
10919,,34,,0.8302000164985657,0.7600160241127014
10949,-0.12003833800554276,35,,,
10999,-0.18534667789936066,35,,,
11049,-0.2539951205253601,35,,,
11099,-0.30884960293769836,35,,,
11149,-0.12813571095466614,35,,,
11199,-0.19667360186576843,35,,,
11231,,35,0.7253000140190125,,
11231,,35,,0.83160001039505,0.7638471722602844
11249,-0.19496217370033264,36,,,
11299,-0.25165972113609314,36,,,
11349,-0.2330307513475418,36,,,
11399,-0.1599833071231842,36,,,
11449,-0.24380284547805786,36,,,
11499,-0.23104894161224365,36,,,
11543,,36,0.728600025177002,,
11543,,36,,0.8454999923706055,0.7674278616905212
11549,-0.1666320115327835,37,,,
11599,-0.18390882015228271,37,,,
11649,-0.26276376843452454,37,,,
11699,-0.2604254186153412,37,,,
11749,-0.23665261268615723,37,,,
11799,-0.24430423974990845,37,,,
11849,-0.19180339574813843,37,,,
11855,,37,0.7149999737739563,,
11855,,37,,0.8346999883651733,0.7659505009651184
11899,-0.26568150520324707,38,,,
11949,-0.21956878900527954,38,,,
11999,-0.23135623335838318,38,,,
12049,-0.20116141438484192,38,,,
12099,-0.2658105492591858,38,,,
12149,-0.15617775917053223,38,,,
12167,,38,0.7139999866485596,,
12167,,38,,0.8292999863624573,0.7687800526618958
12199,-0.14458157122135162,39,,,
12249,-0.1668788194656372,39,,,
12299,-0.2473817765712738,39,,,
12349,-0.24911922216415405,39,,,
12399,-0.22296813130378723,39,,,
12449,-0.11857658624649048,39,,,
12479,,39,0.7239000201225281,,
12479,,39,,0.8341000080108643,0.7689052224159241
12499,-0.3816401958465576,40,,,
12549,-0.37216800451278687,40,,,
12599,-0.35589277744293213,40,,,
12649,-0.3948577046394348,40,,,
12699,-0.3787102997303009,40,,,
12749,-0.4002390503883362,40,,,
12791,,40,0.7432000041007996,,
12791,,40,,0.8600999712944031,0.7808994650840759
12799,-0.36079782247543335,41,,,
12849,-0.4224991798400879,41,,,
12899,-0.39703279733657837,41,,,
12949,-0.38157594203948975,41,,,
12999,-0.3505561351776123,41,,,
13049,-0.3840217590332031,41,,,
13099,-0.38352376222610474,41,,,
13103,,41,0.7372999787330627,,
13103,,41,,0.8579999804496765,0.7808493375778198
13149,-0.3759304881095886,42,,,
13199,-0.3695720136165619,42,,,
13249,-0.36489224433898926,42,,,
13299,-0.34496140480041504,42,,,
13349,-0.36590296030044556,42,,,
13399,-0.3627784252166748,42,,,
13415,,42,0.727400004863739,,
13415,,42,,0.8422999978065491,0.7777444124221802
13449,-0.4139494001865387,43,,,
13499,-0.35514509677886963,43,,,
13549,-0.3816744089126587,43,,,
13599,-0.40469157695770264,43,,,
13649,-0.3567879796028137,43,,,
13699,-0.3450292646884918,43,,,
13727,,43,0.7231000065803528,,
13727,,43,,0.8388000130653381,0.7795472741127014
13749,-0.3896779417991638,44,,,
13799,-0.41005784273147583,44,,,
13849,-0.3589908480644226,44,,,
13899,-0.3720126152038574,44,,,
13949,-0.33144688606262207,44,,,
13999,-0.36468756198883057,44,,,
14039,,44,0.7426999807357788,,
14039,,44,,0.8600000143051147,0.7770182490348816
14049,-0.33600956201553345,45,,,
14099,-0.4105769991874695,45,,,
14149,-0.36855316162109375,45,,,
14199,-0.4085191488265991,45,,,
14249,-0.39181169867515564,45,,,
14299,-0.40062710642814636,45,,,
14349,-0.3757558763027191,45,,,
14351,,45,0.7408000230789185,,
14351,,45,,0.8611999750137329,0.7785206437110901
14399,-0.39800435304641724,46,,,
14449,-0.41026854515075684,46,,,
14499,-0.3239075541496277,46,,,
14549,-0.3892151117324829,46,,,
14599,-0.37458449602127075,46,,,
14649,-0.38368335366249084,46,,,
14663,,46,0.7264999747276306,,
14663,,46,,0.8468000292778015,0.7790715098381042
14699,-0.3408203721046448,47,,,
14749,-0.3288041651248932,47,,,
14799,-0.3761017918586731,47,,,
14849,-0.3712518811225891,47,,,
14899,-0.3863275349140167,47,,,
14949,-0.3987213969230652,47,,,
14975,,47,0.7267000079154968,,
14975,,47,,0.8476999998092651,0.7801482081413269
14999,-0.393675297498703,48,,,
15049,-0.352394700050354,48,,,
15099,-0.32416650652885437,48,,,
15149,-0.411721795797348,48,,,
15199,-0.38680416345596313,48,,,
15249,-0.3798163831233978,48,,,
15287,,48,0.7261000275611877,,
15287,,48,,0.8385999798774719,0.7795973420143127
15299,-0.4013659954071045,49,,,
15349,-0.3385201394557953,49,,,
15399,-0.4104214608669281,49,,,
15449,-0.38192301988601685,49,,,
15499,-0.3628440499305725,49,,,
15549,-0.37772613763809204,49,,,
15599,-0.39222434163093567,49,,,
15599,,49,0.7271000146865845,,
15599,,49,,0.839900016784668,0.7786959409713745
15649,-0.35420793294906616,50,,,
15699,-0.3509773910045624,50,,,
15749,-0.4160424470901489,50,,,
15799,-0.39159053564071655,50,,,
